"Gene.Symbol","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102","first","second","third"
"MATR3 /// SNHG4",798.6,605.8,661.6,637.2,805.4,"MATR3","SNHG4",NA
"CAP1",927.5,1218.8,1563,929,1053.5,"CAP1",NA,NA
"MATR3 /// SNHG4",764,355,441.3,721.2,796.3,"MATR3","SNHG4",NA
"PTGES3",1087.1,896.4,888.7,1019.8,1114.8,"PTGES3",NA,NA
"WARS",163.8,205.7,150.1,176.1,183.5,"WARS",NA,NA
"WARS",253.4,363.1,232,227.7,218.7,"WARS",NA,NA
"SET /// SETSIP",1062.5,1342.3,1205.9,1211.2,1390.8,"SET","SETSIP",NA
"SET /// SETSIP",746.9,1077.7,882.5,885.9,715.8,"SET","SETSIP",NA
"NDRG1",990.1,997.4,598,615,625,"NDRG1",NA,NA
"UBB",3971.1,4294.8,4334,3210.1,3756,"UBB",NA,NA
"PFN1",1003.6,1801.1,2564.1,1303.2,1584.5,"PFN1",NA,NA
"PTPRF",142.3,193,174.7,107.4,111.8,"PTPRF",NA,NA
"PTPRF",391.6,176.9,152.8,274,360.1,"PTPRF",NA,NA
"PTPRF",200.8,220.9,200.7,125.7,138.4,"PTPRF",NA,NA
"YWHAZ",822,823.9,873.9,895.2,1264.6,"YWHAZ",NA,NA
"YWHAZ",617.2,908.4,734.1,733.9,1324.2,"YWHAZ",NA,NA
"YWHAZ",974.1,1966.5,1584.5,1113.8,1280.9,"YWHAZ",NA,NA
"YWHAZ",731.2,1067.6,1208.7,853.6,879,"YWHAZ",NA,NA
"SOD1",1085.6,1017.6,1108.6,1100,1283.2,"SOD1",NA,NA
"HDLBP",219.9,429.6,433.5,326.2,369.2,"HDLBP",NA,NA
"MARCKSL1",254,438.7,397.4,385.7,269.3,"MARCKSL1",NA,NA
"GABARAP",1330.4,1410.2,1602.6,1241.1,1133.2,"GABARAP",NA,NA
"NUCB1",167.3,236,368.3,202.6,196.2,"NUCB1",NA,NA
"EIF3C /// EIF3CL",684.8,949.1,828.5,441.8,877.2,"EIF3C","EIF3CL",NA
"GLUL",356.6,261,232,358.1,441.4,"GLUL",NA,NA
"NUCB1",314.5,532.1,676.4,427.5,416,"NUCB1",NA,NA
"LDHA",1376.6,1866.3,1791.9,1343.2,1360.9,"LDHA",NA,NA
"GNB2L1 /// SNORD95 /// SNORD96A",3518.4,3320.8,3443.8,2398.3,2212.9,"GNB2L1","SNORD95","SNORD96A"
"SSR2",710.3,1091.1,1099.2,736.9,745.2,"SSR2",NA,NA
"CALM1 /// CALM2 /// CALM3",471.5,387.5,450.5,417.4,642.4,"CALM1","CALM2","CALM3"
"P4HB",801.3,1077.4,1591.4,1074.9,1038.8,"P4HB",NA,NA
"CALM1 /// CALM2 /// CALM3",622.8,694.2,725.7,925,1497.9,"CALM1","CALM2","CALM3"
"P4HB",301.8,467,539.1,625.3,648.4,"P4HB",NA,NA
"SLC25A5",640.9,976.8,1105.8,1075.2,792.4,"SLC25A5",NA,NA
"PHB",173.1,263.4,228.7,211.6,153.6,"PHB",NA,NA
"PHB",183.7,215.9,186.6,203.3,89,"PHB",NA,NA
"S100A11",327.5,623.6,750.4,371.7,598.6,"S100A11",NA,NA
"CTSA",195.2,251,277.9,212.3,260,"CTSA",NA,NA
"TOMM20",700.1,385,457.3,616.3,513,"TOMM20",NA,NA
"CD63",2628.1,3610,4914.6,3078.4,2831.3,"CD63",NA,NA
"DNAJB1",355.3,377.6,290.9,220.5,238.6,"DNAJB1",NA,NA
"SPARC",2027.5,2867.2,4621,3863.2,3704.8,"SPARC",NA,NA
"DNAJB1",434,399.4,316,283.4,311.1,"DNAJB1",NA,NA
"UBE2D3",478,891.6,446.3,560,492.5,"UBE2D3",NA,NA
"UBE2D3",783.5,783.9,739.2,598.8,841.8,"UBE2D3",NA,NA
"UBE2D3",528.9,534.3,480.6,454.8,474.6,"UBE2D3",NA,NA
"XBP1",288,469,266.5,337.4,296.2,"XBP1",NA,NA
"SPTBN1",207.3,132.2,254.7,186,242.7,"SPTBN1",NA,NA
"SPTBN1",501.4,392.4,490.7,498.6,565.2,"SPTBN1",NA,NA
"LAPTM4A",2541.2,1975.6,1906.2,2848.2,2449.2,"LAPTM4A",NA,NA
"RPL32",5751.5,7574.2,6089,3745.9,3655.1,"RPL32",NA,NA
"CD81",3248.9,3517.3,3890,3197.2,3535.4,"CD81",NA,NA
"UBE2L3",78.6,114.5,120.6,95.6,98.2,"UBE2L3",NA,NA
"PTTG1IP",1265.2,1269.1,1297.8,1483.2,1392,"PTTG1IP",NA,NA
"GRN",490,607.9,668,686,728.7,"GRN",NA,NA
"HMGB1",532.5,758.6,701.4,513.6,504.4,"HMGB1",NA,NA
"HMGB1",2649.2,2949.9,3142.5,1793.5,2105.9,"HMGB1",NA,NA
"GLO1",460.4,976.7,901.6,600.6,603.7,"GLO1",NA,NA
"UBE2L3",350.7,440.8,692.4,466.9,494.9,"UBE2L3",NA,NA
"UBE2L3",200.2,283.7,243.5,293.8,392.9,"UBE2L3",NA,NA
"UBE2L3",137.2,121.3,166.4,176.5,214.7,"UBE2L3",NA,NA
"SRSF11",92.5,71.8,60.3,81.6,96.9,"SRSF11",NA,NA
