"","Gene.Symbol","Flu.Immunized.Only.Day.7","Flu.Immunized.Only.Day.7.1","Flu.Immunized.Only.Day.7.2"
"158","ACTN4",6.193578019,6.815338426,6.272977479
"159","ACTR10",9.126052961,8.923298977,8.963258328
"160","ACTR1A",6.5582566165,7.123082081,6.6478793185
"161","ACTR2",8.12959219557143,7.84342258871429,7.96686885414286
"162","ACTR3",9.5680186052,9.4761360142,9.4263134236
"163","ACTR3B",3.734727335,3.763736828,3.506145743
"164","ACTR5",6.0897415295,6.1728909615,6.0294945545
"165","ACTR6",4.991757229,4.950893406,5.3577289005
"166","ACTRT2",2.402287959,2.291877192,2.437533067
"167","ACVR1",7.19220126,6.967885242,6.832151396
"168","ACVR1B",3.76459316416667,4.21828191683333,3.54648454233333
"169","ACVR1C",4.3358384205,3.8464006245,3.7005331885
"170","ACVR2A",8.195525871,7.9794857455,6.586665173
"171","ACVR2B",3.631396951,3.31136981033333,3.67695010133333
"172","ACVRL1",2.4749871995,2.586293243,3.0715543785
"173","ACY3",2.8646849115,3.1405364475,2.8003872885
"174","ACYP1",6.352691457,5.782455358,6.341446843
"175","ACYP2",6.319475835,5.991811457,6.704221045
"176","ADA",7.0774345135,7.732910056,7.3897503565
"177","ADAL",4.1963942885,3.6787704055,3.5965947305
"178","ADAM10",8.07127339733333,8.27944562466667,7.86942564766667
"179","ADAM11",2.65734197,2.641095158,2.7920807895
"180","ADAM12",2.81987958425,2.55771498,2.7382492985
"181","ADAM15",4.7818369265,5.317963933,4.5487134635
"182","ADAM17",6.126215232,6.19499282125,5.884087054
"183","ADAM18",2.472489213,2.4656038295,2.5592447015
"184","ADAM19",5.167083335,5.25539685,5.3121433695
"185","ADAM2",2.065981126,2.392294298,2.032895655
"186","ADAM20",2.8343366395,2.783428713,2.750387607
"187","ADAM21",2.516257629,2.628181365,2.682120196
"188","ADAM22",2.59732328471429,2.56525359185714,2.79956606842857
"189","ADAM23",2.672118386,2.526658742,2.75430215633333
"190","ADAM28",5.6476582285,5.6670518555,5.9114502495
"191","ADAM30",2.320674122,2.3563048855,2.11131104
"192","ADAM32",2.285248221,2.251311768,2.294378098
"193","ADAM33",3.17882577,3.020280066,3.3498135665
"194","ADAM7",2.131383141,2.395406632,2.20786109
"195","ADAM8",5.059762246,5.3420528025,4.4834974095
"196","ADAM9",4.78413580466667,5.715099533,4.25391122666667
"197","ADAMDEC1",3.140328891,4.084253922,2.85289896
"198","ADAMTS1",2.461443598,2.56986485,2.995045031
"199","ADAMTS12",2.505738489,3.0581143495,2.65339454
"200","ADAMTS13",3.2082042285,3.0043222425,2.9693728415
"201","ADAMTS14",2.638098598,2.473989024,2.325375304
"202","ADAMTS15",2.588028473,2.554423811,2.2790937425
"203","ADAMTS16",2.489471579,2.36208529,2.37776073
"204","ADAMTS17",2.71526029233333,2.54559866,2.77230905366667
"205","ADAMTS18",2.775191208,2.79847455466667,2.892739812
"206","ADAMTS19",2.1638566795,2.222533068,2.178263041
"207","ADAMTS2",2.377444383,2.5883748165,2.628034315
"208","ADAMTS20",2.3765944855,2.554558109,2.2880123295
"209","ADAMTS4",2.910744174,2.798756203,2.351415254
"210","ADAMTS5",2.584432372,2.575597258,2.626199074
"211","ADAMTS6",3.124871384,2.86459093,2.741947252
"212","ADAMTS7",2.341177245,2.30439072033333,2.45647810833333
"213","ADAMTS8",2.62902425266667,2.39933037166667,2.54642109266667
"214","ADAMTS9",2.7285716755,2.6481864345,2.50002038925
"215","ADAMTSL1",2.38060230633333,2.51387238783333,2.41581300266667
"216","ADAMTSL2",2.7666352,2.431551746,2.8322545
"217","ADAMTSL3",2.432282829,2.6479313655,2.399930353
"218","ADAMTSL4",3.087090617,3.4163048985,2.7746333595
"219","ADAMTSL5",2.656103622,2.241989095,2.472678984
"220","ADAP1",6.970238524,7.257088956,6.3945747565
"221","ADAP2",6.1222191705,6.403146821,5.4798281995
"222","ADAR",10.06840241,10.13722528,10.21354462
"223","ADARB1",3.4493019964,3.4649469884,3.6504593604
"224","ADARB2",2.625533179,2.52567272,2.3337192235
"225","ADAT1",6.559355655,5.913717928,6.199565216
"226","ADAT2",4.447231907,4.360561084,4.970510388
"227","ADCK1",4.840534641,4.674021136,4.908178343
"228","ADCK2",4.726563018,4.728097554,4.66705679825
"229","ADCK5",3.378016941,3.775837362,3.8470364
"230","ADCY1",2.572467244,2.4154379322,2.6236643424
"231","ADCY10",2.6774536145,2.5397024915,2.560319188
"232","ADCY3",4.497359622,4.5428648555,4.3600870195
"233","ADCY4",3.76578856,3.505757715,3.010405093
"234","ADCY5",2.7906092165,2.4135472065,2.479278245
"235","ADCY6",2.887036019,2.129744075,2.50322357
"236","ADCY7",6.4754717215,6.5824799045,6.2617265625
"237","ADCY8",2.321890365,2.83429799,2.409513428
"238","ADCY9",4.17030846033333,4.252500408,3.96100714533333
"239","ADCYAP1",2.347108405,2.4844396415,2.432478727
"240","ADCYAP1R1",2.502108623,2.600805055,2.9034734705
"241","ADD1",6.7213850885,6.3305077455,6.8062787415
"242","ADD2",2.8455980392,2.8024199066,2.8571646664
"243","ADD3",10.3910564125,9.9762544285,10.473345395
"244","ADH1A",2.267264142,3.048381729,2.128322591
"245","ADH1C",2.412176463,2.352353794,2.034275974
"246","ADH4",2.48532650275,2.316011017,2.469772991
"247","ADH5",7.834095188,7.696608476,7.802518801
"248","ADH7",2.256084393,2.879184756,2.280422146
"249","ADHFE1",6.362299661,6.035709801,6.442664595
"250","ADIG",3.0362593145,3.0158686595,3.007321556
"251","ADIPOR1",9.384629744,9.28607497,9.037186279
"252","ADIPOR2",7.651065288,7.719698063,7.670678331
"253","ADK",5.8723505935,6.1499206395,6.038611001
"254","ADM",10.62363536,10.57397843,9.183346793
"255","ADM2",3.428998239,4.268161001,3.363755855
"256","ADNP",7.1717497465,7.5755912275,7.7998677265
"257","ADNP2",7.256897446,7.196976319,7.009550163
"258","ADO",5.8952526865,6.1678786625,5.7608933745
"259","ADORA1",3.1465497715,3.156506579,2.942662696
"260","ADORA2B",4.721184099,5.259793174,4.183519397
"261","ADPGK",8.3087602125,8.69120609,8.3249777695
"262","ADPRH",4.65487745866667,4.308872038,3.51125652133333
"263","ADPRHL1",2.745516207,2.825196766,2.926012283
"264","ADPRHL2",5.861709363,6.239223849,5.892745812
"265","ADRA1B",2.961933568,2.828553662,2.764547174
"266","ADRA1D",2.668745926,2.645519018,2.6184920335
"267","ADRA2A",2.75151287,2.48849781,2.071491034
"268","ADRA2B",3.712818274,3.156051819,3.056618435
"269","ADRA2C",2.798895187,3.232111185,2.454421387
"270","ADRB2",6.524760484,6.111329248,6.596873681
"271","ADRB3",2.8295380615,2.644107649,2.83870332
"272","ADRM1",6.577447752,7.236655329,6.962207344
"273","ADSL",8.2587562625,8.476472794,8.638995047
"274","ADSSL1",3.194494252,3.7517687405,3.371267237
"275","AEBP1",4.326835226,4.183938102,4.666420359
"276","AEBP2",4.9557650355,5.216185336,4.998153006
"277","AEN",5.730217989,5.612648291,5.259338949
"278","AFAP1",2.196799797,2.011430935,1.888666918
"279","AFAP1L1",2.4145943345,2.3230307195,2.5662342575
"280","AFAP1L2",2.466804999,2.607340063,2.964482886
"281","AFF1",5.9652778,5.13355678133333,5.80085669
"282","AFF2",2.475588051,2.38678701066667,2.473883431
"283","AFF3",3.62915485925,3.3995594155,4.336419926
"284","AFF4",4.64742632775,4.8363787645,4.531430991875
"285","AFM",2.601088795,2.18049784,2.277177338
"286","AFMID",2.860581097,2.661685076,2.780006957
"287","AFP",2.43121477,2.253566514,2.312689804
"288","AFTPH",7.739406243,7.760124056,8.1623417825
"289","AGA",7.269674735,7.19892588,7.029233121
"290","AGAP1",3.0149305415,3.3014238205,3.056956913
"291","AGAP2",3.30910755433333,3.11450301666667,3.11232998333333
"292","AGBL1",2.160721162,2.251685912,2.34392818
"293","AGBL2",3.373064235,2.889959966,3.239583126
"294","AGBL3",2.65462546733333,2.50983651,2.84262593933333
"295","AGBL4",2.593394429,2.6822007235,2.5176469995
"296","AGBL5",4.01482265066667,3.523984504,3.604067724
"297","AGER",3.665577751,3.4687884965,3.5896269775
"298","AGFG1",6.289302673,6.9850475104,6.3593097104
"299","AGFG2",2.996570407,2.96720244383333,3.06145431866667
"300","AGGF1",5.42798036075,5.583820918,6.10272251225
"301","AGK",5.02870520066667,4.699233657,4.83759085666667
"302","AGL",6.653193552,6.518872358,7.4634356
"303","AGMAT",3.4215223845,3.221812391,3.444493098
"304","AGPAT1",6.3056287475,6.004046636,5.9243726465
"305","AGPAT2",4.4644591505,4.8124333945,4.3441782245
"306","AGPAT3",5.63949539766667,5.626673426,5.4513485845
"307","AGPAT4",5.1088987895,5.1426685995,4.866705459
"308","AGPAT5",4.8501297585,4.6157151245,5.4883069225
"309","AGPS",5.95246687125,6.4390781985,5.76707057
"310","AGR2",2.2504613095,2.2237674665,2.5336718695
"311","AGR3",2.196799797,2.302454457,2.627206372
"312","AGRN",3.28395740025,2.87757839425,3.19409918325
"313","AGRP",2.31452267,2.588315266,2.461180947
"314","AGTPBP1",6.980402041,6.579727882,6.5742297595
"315","AGTR1",2.1696497265,2.240778243,2.313295084
"316","AGTR2",2.251575877,2.48798450133333,2.426334995
"317","AGTRAP",7.994455523,8.7035667565,7.731072313
"318","AGXT",2.696840268,2.67011009366667,2.65184216966667
"319","AHCTF1",4.976595247,4.87745642866667,4.88403704766667
"320","AHCY",7.238354798,7.079228704,7.130895489
"321","AHCYL1",6.23003429975,6.59320376625,6.25667533375
"322","AHCYL2",4.458848866,4.5583162565,4.327217186
"323","AHI1",3.1384217744,3.2235738842,3.3059948174
"324","AHNAK",5.6621768008,5.5926705286,5.4242885762
"325","AHNAK2",2.569382754,2.57407697,2.5168198115
"326","AHR",9.849395575,10.21694931,8.443740404
"327","AHSA1",7.350694974,7.318365629,7.807399022
"328","AHSG",2.970386804,3.095237897,3.086732359
"329","AICDA",2.4914393405,2.373289537,2.2645415835
"330","AIDA",8.5339685865,8.462429324,9.081634465
"331","AIF1",8.940669376,8.9723329605,8.5222099615
"332","AIF1L",2.7465869545,2.5045524195,2.7287985975
"333","AIFM1",6.213102233,6.700985728,6.69134752
"334","AIFM2",3.44265888,3.5125461025,3.567325904
"335","AIFM3",3.802729608,3.140286639,2.747575293
"336","AIM2",6.147835111,6.176901296,7.014950341
"337","AIP",7.3312269645,7.2873217865,7.494789363
"338","AIPL1",3.102605217,3.3159338795,3.165332028
"339","AIRE",3.055854055,3.316238802,2.94942775
"340","AJAP1",2.4867944,2.380349004,2.57041855166667
"341","AK1",5.6026807215,5.9650620605,5.542463841
"342","AK2",6.64560961266667,6.74585138583333,6.5785757375
"343","AK3",6.791926015,6.6519502525,7.253485486
"344","AK5",5.2653687805,5.0850260735,5.4267403265
"345","AKAP1",4.78728383375,5.01880785525,5.0264765395
"346","AKAP10",6.27822146425,6.26063775525,6.622164637
"347","AKAP11",6.39201302,6.0238853865,6.6216498545
"348","AKAP12",2.941435548,2.5517841918,2.9952374934
"349","AKAP13",6.15853664022222,5.99441812922222,6.01289602577778
"350","AKAP14",2.23008852433333,2.29838522533333,2.16849819866667
"351","AKAP3",2.799630422,2.909628696,2.623340813
"352","AKAP4",2.862291292,2.830781442,2.664750606
"353","AKAP5",2.637830386,2.6677416515,2.929637204
"354","AKAP6",2.6568572895,2.490109117,2.497639279
"355","AKAP7",4.7481901095,4.6466510555,4.7567198315
"356","AKAP8",6.7307092365,7.352041133,6.936156736
"357","AKAP8L",4.4312495416,4.358867874,4.4996053894
"358","AKAP9",5.57477647966667,5.57084682433333,5.703658727
"359","AKIRIN1",7.74881162333333,7.81352387966667,7.92402037433333
"360","AKIRIN2",6.91144021633333,7.19690903633333,6.91154515
"361","AKNA",4.60078095,4.81292531,4.76183641433333
"362","AKR1A1",5.7121563985,5.536870224,5.50669032
"363","AKR1B1",8.419170668,8.504827245,8.710065319
"364","AKR1B10",2.732166654,2.707665616,2.641057906
"365","AKR1C3",6.585078863,3.954708008,6.142860268
"366","AKR1C4",2.290246676,2.213045234,1.977385028
"367","AKR1D1",2.260646258,2.063444679,2.144722266
"368","AKR7A2",7.554870644,7.375749217,7.386057931
"369","AKR7A3",3.6342476795,3.4271839925,3.377111434
"370","AKT1",6.980820023,7.102668628,6.788185069
"371","AKT1S1",2.751904913,2.8733064375,2.9989166875
"372","AKT3",4.807518141,4.36430392083333,4.395442648
"373","AKTIP",6.6378082635,6.333293325,7.22121465
"374","ALAD",4.6949087655,4.677015318,4.9759235675
"375","ALAS1",6.31518064,7.247797065,6.421176173
"376","ALAS2",5.6939689475,5.1182989235,5.4959868895
"377","ALB",2.095805808,2.2232484595,2.317549449
"378","ALCAM",6.9532673655,7.3565084255,7.2488365855
"379","ALDH16A1",5.258203202,5.610091643,5.602492118
"380","ALDH18A1",6.533834212,6.3935182655,7.2760339765
"381","ALDH1A1",7.977483137,8.650545676,7.167945425
"382","ALDH1B1",3.4768360175,3.3422234025,2.7672055705
"383","ALDH1L1",3.6798082735,3.329540706,3.718642419
"384","ALDH1L2",2.31671018633333,2.416725583,2.503335962
"385","ALDH2",9.401245238,10.21176245,8.37982806
"386","ALDH3A1",2.989109663,3.045221478,2.532215511
"387","ALDH3A2",6.03439486333333,6.24464819266667,5.881060425
"388","ALDH3B1",4.98418305066667,5.404023125,4.701340614
"389","ALDH3B2",2.355823857,2.4363191675,2.482549452
"390","ALDH4A1",3.263017439,3.262374339,3.2838774655
"391","ALDH5A1",5.8912024725,4.518245043,5.790726072
"392","ALDH6A1",4.6549873935,4.2132828065,4.785649899
"393","ALDH7A1",2.82826417333333,3.02757792966667,2.83626707433333
"394","ALDH8A1",2.424525323,2.667895065,2.754677268
"395","ALDH9A1",8.603897976,8.648323658,9.14103782
"396","ALDOA",9.31066896933333,9.59320704633333,9.151696856
"397","ALDOB",2.48928048066667,2.51840599255556,2.62270413311111
"398","ALDOC",5.929954558,5.600234757,6.13745419
"399","ALG1",3.376538872,3.763931532,3.8995284935
"400","ALG10",2.9709855085,2.545920163,2.8993693495
"401","ALG12",4.01129613,3.672190161,4.525729018
"402","ALG13",7.2018449615,6.9860416975,7.271653679
"403","ALG14",4.813585214,5.547060685,5.848727906
"404","ALG2",4.7752473125,5.413407393,5.0961016395
"405","ALG3",5.290945211,5.64987859,5.699965007
"406","ALG5",8.165998693,8.632173648,8.54491829
"407","ALG6",7.226139894,7.518355622,7.413888749
"408","ALG8",6.227043986,6.682314423,6.765168305
"409","ALG9",4.6067175015,4.656608367,5.066035729
"410","ALKBH1",4.226240127,4.156330183,4.0303000135
"411","ALKBH2",4.180170781,4.550943609,4.891321646
"412","ALKBH3",6.129729681,5.851426355,6.127422448
"413","ALKBH4",3.657393776,3.501390722,4.268266884
"414","ALKBH5",6.070552932,6.38629006833333,6.51626272566667
"415","ALKBH6",6.271971293,5.787577504,6.246814049
"416","ALKBH7",4.730460585,4.74789630125,4.9164769535
"417","ALKBH8",3.845977166,3.71620147,4.194177016
"418","ALLC",2.849684716,2.840139011,2.342455414
"419","ALMS1",5.462322524,4.72232876433333,5.30338335566667
"420","ALOX12B",2.63405464,2.408771446,2.270180855
"421","ALOX12P2",2.82372217,2.289921797,3.164787915
"422","ALOX15",2.596108704,2.531772809,2.621665894
"423","ALOX15B",2.887298399,3.688209902,2.8163608945
"424","ALOX5",6.8211990475,7.03322407225,6.7187448455
"425","ALOX5AP",9.963816702,10.20596991,10.06423677
