"Gene.Symbol","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097","first","second","third"
"APP",96.8,210.4,398.6,240.7,354.8,"APP",NA,NA
"PRKAR1A",602.1,829.7,875.4,1028.7,793.3,"PRKAR1A",NA,NA
"PRKAR1A",893.5,200.1,235.9,186,72.8,"PRKAR1A",NA,NA
"PRKAR1A",1070.6,708.9,706.9,780.1,231.2,"PRKAR1A",NA,NA
"DSP",42,63.4,57.5,63,64,"DSP",NA,NA
"RAD21",170.9,158.9,203.3,132.9,68.6,"RAD21",NA,NA
"RAD21",138.4,279.6,496.8,332.5,252.2,"RAD21",NA,NA
"WDR1",1160.1,785.6,801.4,551.2,658.8,"WDR1",NA,NA
"NCL",1029.7,896.1,893,836.1,1088.1,"NCL",NA,NA
"WDR1",975,718,662.6,595.6,537.5,"WDR1",NA,NA
"AP2B1",144.3,248.6,192.2,218.4,256.3,"AP2B1",NA,NA
"AP2M1",1003.6,783.5,595.9,811.9,871.5,"AP2M1",NA,NA
"CLTC",2144.2,1459,1513.9,1673,1786.5,"CLTC",NA,NA
"AP2B1",240,135.3,121.6,166.6,146.3,"AP2B1",NA,NA
"MLEC",140.3,162.9,68.2,80.2,141.8,"MLEC",NA,NA
"MLEC",358.8,279.7,317.2,380.5,455.7,"MLEC",NA,NA
"LASP1",330.1,297,278,355.7,410.7,"LASP1",NA,NA
"SF3B2",408.6,291.7,170.9,232,297.9,"SF3B2",NA,NA
"TMEM59",742.5,799.4,845.3,899.4,700.1,"TMEM59",NA,NA
"CSRP1",6650.1,6492.5,5787.2,7051.9,8332.6,"CSRP1",NA,NA
"CALM1 /// CALM2 /// CALM3",163.1,208.4,90,125.8,157.9,"CALM1","CALM2","CALM3"
"CALM1 /// CALM2 /// CALM3",395.3,353.5,306.1,397.7,454.2,"CALM1","CALM2","CALM3"
"MATR3 /// SNHG4",642.7,465.9,776,561.2,191.1,"MATR3","SNHG4",NA
"CAP1",1541.3,939.5,1129.2,1339.3,1460.7,"CAP1",NA,NA
"MATR3 /// SNHG4",493.9,741.2,1123,655.8,635.2,"MATR3","SNHG4",NA
"PTGES3",850.3,1030.1,1292.2,887.8,816,"PTGES3",NA,NA
"WARS",132.9,96.8,106.6,17.8,57.8,"WARS",NA,NA
"WARS",160.5,154.8,200.3,160.7,202.8,"WARS",NA,NA
"SET /// SETSIP",1507.3,1681.2,1708,1381.6,1734,"SET","SETSIP",NA
"SET /// SETSIP",1119.3,1058.7,1262.3,993.2,952.6,"SET","SETSIP",NA
"NDRG1",343.1,304.6,262.7,235.6,273.3,"NDRG1",NA,NA
"UBB",4650.5,3378.8,4299.5,3947.3,4641.3,"UBB",NA,NA
"PFN1",1418.9,1863.2,1393.9,1857,2231.7,"PFN1",NA,NA
"PTPRF",35.3,133.1,119.4,60.7,64.7,"PTPRF",NA,NA
"PTPRF",84.3,352.7,339.8,165.5,163.9,"PTPRF",NA,NA
"PTPRF",74.2,132.7,99.3,77.6,58.7,"PTPRF",NA,NA
"YWHAZ",724.3,628,740.4,614.9,349.2,"YWHAZ",NA,NA
"YWHAZ",778.8,1091.2,1049.3,991.5,1261.5,"YWHAZ",NA,NA
"YWHAZ",1243.5,1395.4,1442.1,1109.9,1007.9,"YWHAZ",NA,NA
"YWHAZ",768.6,531,479,398.1,183.2,"YWHAZ",NA,NA
"SOD1",1217.5,1334.6,1413.8,1087.2,1277.4,"SOD1",NA,NA
"HDLBP",628.7,487.1,463.1,619.6,748.6,"HDLBP",NA,NA
"MARCKSL1",779,515.4,387.7,409.6,432,"MARCKSL1",NA,NA
"GABARAP",1736.3,1175.9,1242.8,1447.8,1642,"GABARAP",NA,NA
"NUCB1",307.7,120.5,128.6,141,180.8,"NUCB1",NA,NA
"EIF3C /// EIF3CL",1091,551.2,699.4,775.1,961.1,"EIF3C","EIF3CL",NA
"GLUL",385.4,119.6,112.3,108.5,30.3,"GLUL",NA,NA
"NUCB1",602.9,318.9,240.8,411.8,462.9,"NUCB1",NA,NA
"LDHA",1752.5,1357.1,1253,1417.4,1631.1,"LDHA",NA,NA
