"Gene.Symbol","Flu.non.immunized.healthy","Flu.non.immunized.healthy.1","Flu.non.immunized.healthy.2","Flu.non.immunized.healthy.3","Flu.non.immunized.healthy.4","Flu.non.immunized.healthy.5"
"EPHB4",3.948875346,4.2607696005,3.9716167035,3.9956792485,4.57488745,4.234416643
"EPHB6",5.646226571,5.413717578,4.467090186,4.074048901,5.466537194,5.523373742
"EPHX1",3.044215778,2.789716274,3.026374319,2.532595533,3.010196008,2.771419107
"EPHX2",6.859508079,6.851856424,6.134447941,6.340797816,5.623818987,6.277371713
"EPM2A",4.250494214,4.52599001333333,4.4177845,3.62730044433333,3.675108032,3.668137107
"EPM2AIP1",6.72687820166667,7.22045910966667,6.968489653,7.16849369733333,6.942897219,6.44908063133333
"EPN1",4.2475105735,4.4462220385,4.4447275215,3.876736559,3.745578604,3.3044325595
"EPN2",3.395539647,3.3573082175,3.7603718355,2.9470726825,3.482032623,3.34488851
"EPN3",2.826200515,2.77222737,2.855926808,2.382305591,2.23332551,2.229523857
"EPO",2.886861749,3.145525891,3.3339472225,2.603285081,2.6522245745,2.8023269735
"EPOR",3.9362296825,4.35376990016667,4.00682508,3.847234058,3.49409527583333,3.290571503
"EPRS",8.600568013,8.61863339233333,8.46413895666667,7.58941526933333,7.90671820766667,7.72051289066667
"EPS15",9.193510864,9.197929293,9.339255873,8.301843212,8.4369537365,8.330410166
"EPS15L1",4.4396346762,4.7319307742,4.5511597236,3.8377009094,3.7521230608,3.7423795586
"EPS8",5.36063236,5.806785529,5.34230386,4.121866625,4.760172067,5.410699748
"EPS8L1",3.5489439464,3.4548660826,3.160339479,2.8177186118,3.0470102544,2.7206480074
"EPS8L2",3.43307899833333,3.306935149,3.58516309066667,2.46721334266667,3.34638351266667,2.88696440833333
"EPS8L3",3.673443813,3.082100055,2.860450726,2.545281278,2.486518979,2.233101237
"EPSTI1",7.516396503,8.4722182995,8.359489105,6.8833404725,7.4186223355,7.917406067
"EPX",3.004492286,3.014868085,2.982261709,2.346661627,2.336423447,2.629351535
"EPYC",2.609790168,2.541040231,2.544512828,2.282426654,2.036421279,2.289358119
"ERAL1",4.583776197,4.716800985,4.285696638,4.364009167,4.455646303,4.342650183
"ERAP1",6.59372017133333,6.48112483933333,6.79354746083333,5.340401894,5.15132841666667,5.3739513815
"ERAP2",5.8851153796,5.9836282714,7.4716674308,6.9902970652,4.7834764728,6.4954506888
"ERBB2",3.53660149,3.574591091,3.08020779533333,3.003459883,2.98013579566667,2.90846526533333
"ERBB3",3.0131495526,3.2703145404,3.0607143406,2.5122977798,2.5598644948,2.6626847572
"ERBB4",3.19411980025,2.9902347405,2.93662630375,2.29188773675,2.2693332885,2.41270833025
